	symbol	padj	log2FoldChange
ENSG00000148082.10	SHC3	7.3434377694829e-12	2.22792017972226
ENSG00000152256.14	PDK1	6.57106190518761e-30	-2.59186870256202
ENSG00000153363.15	LINC00467	1.69212319144733e-08	-2.12185219043876
ENSG00000153485.6	LYSET	6.50669119397397e-19	2.18327806776086
ENSG00000157873.18	TNFRSF14	5.98384047219644e-38	2.06267018354825
ENSG00000158373.9	H2BC5	5.67366156133868e-20	2.53112039726765
ENSG00000162066.16	AMDHD2	3.52578197285898e-29	2.13411149810993
ENSG00000163794.6	UCN	1.89639384235427e-11	2.10336099820777
ENSG00000163884.4	KLF15	1.3553349360034e-10	2.77331741657695
ENSG00000164379.7	FOXQ1	2.90466964180738e-39	2.36887460894357
ENSG00000165606.10	DRGX	4.42601772852733e-23	2.30694779915625
ENSG00000166432.16	ZMAT1	1.69212319144733e-08	-2.12749919989974
ENSG00000166473.18	PKD1L2	2.15854434726381e-15	2.14420260081066
ENSG00000166963.13	MAP1A	1.36463265605694e-19	2.10558394559769
ENSG00000167994.13	RAB3IL1	6.33139254208323e-17	2.05239056724022
ENSG00000168621.15	GDNF	3.38227082030986e-08	2.18897016237185
ENSG00000170379.21	TCAF2	1.93591028502551e-06	-2.14969056145948
ENSG00000170412.18	GPRC5C	3.1564610873736e-06	2.00240785082183
ENSG00000171848.16	RRM2	8.16087323321678e-11	-2.10336025119133
ENSG00000172201.12	ID4	1.83135029032464e-30	-2.58028401737692
ENSG00000172508.11	CARNS1	2.51043652482518e-12	-2.0529396272175
ENSG00000172548.15	NIPAL4	6.00143444553538e-34	2.06027103399063
ENSG00000174521.8	TTC9B	1.01909112461285e-05	2.04667239724135
ENSG00000175946.9	KLHL38	5.5998884936943e-07	2.04089277766564
ENSG00000177283.8	FZD8	2.03161572237921e-46	2.53790502413288
ENSG00000177409.12	SAMD9L	6.56708622566291e-22	-2.49748134473531
ENSG00000178573.7	MAF	2.97598095929359e-18	2.36597186618733
ENSG00000180447.7	GAS1	2.16731105200924e-15	2.72498006896872
ENSG00000183615.6	FAM167B	6.38288030736581e-06	2.02878436162372
ENSG00000186480.13	INSIG1	1.23854567869609e-38	2.27350941785448
ENSG00000197355.11	UAP1L1	2.72919691488988e-37	2.49495457222456
ENSG00000203446.2	SUGCT-AS1	6.24396660445385e-10	2.42975613477102
ENSG00000203837.5	PNLIPRP3	2.51350046444115e-15	2.09724333987119
ENSG00000204386.12	NEU1	1.16723053581133e-42	2.25364660921501
ENSG00000213638.6	ADAT3	1.97257225298682e-17	2.30846854912319
ENSG00000213694.7	S1PR3	7.32233190141575e-10	2.28237691040118
ENSG00000224312.1	NA	5.40029692830377e-05	2.25038860040454
ENSG00000225473.1	NA	4.17167914892032e-05	2.02581430031123
ENSG00000228672.4	PROB1	8.12321300116464e-07	2.15411890252221
ENSG00000231605.6	LINC01363	2.45484148017906e-06	2.16291879844935
ENSG00000236423.8	LINC01134	5.23904628604766e-08	2.28180059792358
ENSG00000236829.9	RPL23AP5	3.28236713864898e-06	2.12793919607217
ENSG00000237596.7	PDE7B-AS1	1.21490988051295e-21	2.33245376146379
ENSG00000238024.1	NA	1.62910254129912e-07	2.16914611050807
ENSG00000238164.6	NA	1.45716247796996e-07	2.3352945463602
ENSG00000241104.5	LOC284344	2.34950485838824e-06	2.20646305521203
ENSG00000243742.6	RPLP0P2	2.03250794362239e-09	2.02817897844856
ENSG00000247095.5	MIR210HG	4.06855293049612e-26	-3.25982980025671
ENSG00000254300.1	LINC01111	9.52181873167692e-07	-2.07102455800528
ENSG00000254682.2	NA	2.0450051988423e-20	2.62217769131592
ENSG00000258183.6	LINC02392	7.00373338362825e-11	2.99800134483715
ENSG00000261645.7	DISC1FP1	6.32594031561869e-10	2.03150778567173
ENSG00000265972.6	TXNIP	4.43933451503116e-13	-2.47452257723245
ENSG00000268621.6	IGFL2-AS1	4.55954906521847e-19	3.56152679674613
ENSG00000268879.1	NA	6.46051073645463e-06	3.26987702105552
ENSG00000273356.1	NA	4.77696949650302e-05	2.1079725458916
ENSG00000275216.2	NA	2.70688120997689e-16	2.51616921916069
ENSG00000283646.2	LINC02009	1.56018564277724e-21	2.08711078770506
