	symbol	padj	log2FoldChange
ENSG00000127946.17	HIP1	1.74348698623257e-22	-2.08703240283949
ENSG00000130518.18	IQCN	8.44303443318759e-10	2.37247281043912
ENSG00000131153.9	GINS2	1.14566099618599e-25	-2.64671010525094
ENSG00000131471.7	AOC3	1.32357908633111e-06	2.85996525431206
ENSG00000132326.13	PER2	4.00782551315177e-11	-2.67897780517645
ENSG00000134321.13	RSAD2	2.01069609573722e-06	3.28112952308607
ENSG00000136383.7	ALPK3	8.44893341742466e-09	2.49290232025393
ENSG00000136492.10	BRIP1	1.32752926916795e-09	-2.21225155669116
ENSG00000137310.13	TCF19	3.14508896350997e-31	-2.54371089747336
ENSG00000137959.17	IFI44L	6.21299854758131e-21	2.58072473022168
ENSG00000139410.15	SDSL	1.35561550394323e-20	-2.43877980666931
ENSG00000140465.15	CYP1A1	5.13454178360665e-17	2.05459919545274
ENSG00000143476.18	DTL	1.49241583444622e-34	-2.59405033594457
ENSG00000144354.15	CDCA7	1.71715219125656e-24	-2.83867988000579
ENSG00000145362.21	ANK2	2.8806920807283e-19	-2.3299519176713
ENSG00000145882.11	PCYOX1L	1.43704575572728e-15	-2.57453532743634
ENSG00000146242.9	TPBG	5.38404609614323e-44	2.17966369996331
ENSG00000147536.12	GINS4	4.43232671053852e-21	-2.67264203512083
ENSG00000148082.10	SHC3	1.29541759128035e-13	2.13767055040196
ENSG00000148219.18	ASTN2	5.65786421585966e-17	-2.76192161375957
ENSG00000149256.16	TENM4	1.41889097882123e-38	-2.19581157971353
ENSG00000151725.12	CENPU	3.71788087886795e-15	-2.58629505298127
ENSG00000152253.9	SPC25	2.02309073502761e-06	-2.25567899391022
ENSG00000153044.10	CENPH	2.1564945390332e-10	-2.13099885305624
ENSG00000153363.15	LINC00467	1.14602102676595e-09	-2.38056381798521
ENSG00000154920.15	EME1	1.36191054468091e-10	-2.14795889838676
ENSG00000156253.7	RWDD2B	2.97094851433777e-33	-2.5844868339381
ENSG00000156398.13	SFXN2	1.48705784620401e-24	-2.19933282064631
ENSG00000157601.15	MX1	1.4026019456562e-18	2.81063814128841
ENSG00000158373.9	H2BC5	9.6289003323525e-30	2.60157499181567
ENSG00000159259.8	CHAF1B	8.51665853758463e-21	-2.09699336778905
ENSG00000163704.13	PRRT3	4.91038338539179e-12	-2.14004921108317
ENSG00000166803.14	PCLAF	2.02594934442144e-09	-2.49042076182401
ENSG00000166816.15	LDHD	1.91027271796098e-07	-2.1086013819212
ENSG00000167074.15	TEF	8.14817497635347e-22	-2.35977991479494
ENSG00000167614.14	TTYH1	6.36006069425733e-07	2.29175997191526
ENSG00000167900.12	TK1	1.15154714351005e-38	-2.9958215809845
ENSG00000168298.7	H1-4	1.38870233934598e-13	2.48974541233588
ENSG00000170390.16	DCLK2	2.648982943923e-26	2.25212639528626
ENSG00000171320.15	ESCO2	4.32788469460485e-09	-2.29030622151029
ENSG00000171848.16	RRM2	9.2994373105934e-36	-3.9217249234642
ENSG00000174059.17	CD34	0.000148349286479373	2.02634040487494
ENSG00000174371.17	EXO1	1.96035643314172e-19	-2.8890646044909
ENSG00000175567.11	UCP2	7.49270471933598e-56	-2.33152868346554
ENSG00000175643.10	RMI2	1.51618933476381e-13	-2.04578847084125
ENSG00000176890.16	TYMS	7.20306764389582e-37	-2.51518780530118
ENSG00000178573.7	MAF	6.66719031914915e-19	2.10666936284542
ENSG00000180573.10	H2AC6	5.03944768748371e-58	2.89949715086901
ENSG00000180596.8	H2BC4	8.21185477631714e-12	2.43820760342919
ENSG00000182054.10	IDH2	3.5552397364998e-23	-2.0789064945314
ENSG00000182324.7	KCNJ14	1.99792567465198e-10	2.05313471601445
ENSG00000182795.13	C1orf116	5.2948388437761e-09	2.16665699599451
ENSG00000182836.10	PLCXD3	3.02419826928815e-06	2.27378410130094
ENSG00000183048.12	SLC25A10	1.8201816007828e-15	-2.13741536683463
ENSG00000184164.15	CRELD2	7.44757632878551e-46	-2.49102424895373
ENSG00000184697.7	CLDN6	2.47187622901634e-08	2.65417624029618
ENSG00000185507.21	IRF7	4.9364046297599e-58	2.68640771114729
ENSG00000185745.10	IFIT1	1.65648682615891e-155	5.07940297226668
ENSG00000187608.10	ISG15	5.86380973131536e-114	3.8196611801734
ENSG00000187720.15	THSD4	1.61153884068884e-19	-2.062150737234
ENSG00000189057.11	FAM111B	3.98993151044893e-10	-2.21517676559651
ENSG00000196584.4	XRCC2	3.59478898951149e-20	-2.35467286934592
ENSG00000197299.13	BLM	1.89118671828034e-08	-2.05844402843236
ENSG00000197565.17	COL4A6	2.88905896469043e-11	-2.36055080561443
ENSG00000198056.16	PRIM1	2.66171423668791e-13	-2.51250012185045
ENSG00000198768.11	APCDD1L	2.73497143229196e-18	-2.01029098604603
ENSG00000198919.13	DZIP3	5.62965225211332e-15	-2.30843033793177
ENSG00000204390.10	HSPA1L	5.34994579050497e-12	2.11771872324156
ENSG00000213144.2	NA	3.61778122981344e-16	2.3070374440141
ENSG00000214050.8	FBXO16	5.40816364843997e-06	-2.11871740457675
ENSG00000223855.4	PDGFA-DT	2.04561628715648e-07	2.3679631194758
ENSG00000224945.1	NA	3.05796629478414e-10	2.10607869813919
ENSG00000228509.7	NA	1.7938955522378e-05	2.0854334499225
ENSG00000228716.7	DHFR	5.55069743745649e-18	-2.6385100477614
ENSG00000229953.1	NA	1.67647220363207e-11	-2.23655216061104
ENSG00000234494.8	SP2-AS1	1.24044680724945e-10	-2.52012273634452
ENSG00000244242.2	IFITM10	8.85594893136755e-22	3.2350701670725
ENSG00000248587.8	NA	0.0001213090984447	-2.07931237124583
ENSG00000265972.6	TXNIP	4.03831510951286e-10	-2.05146317531416
ENSG00000267898.1	NA	1.27511325174794e-05	2.75034966877825
ENSG00000268621.6	IGFL2-AS1	2.98385499665127e-14	2.84510741759207
ENSG00000268879.1	NA	4.0867045084278e-12	3.43671046693264
ENSG00000273802.3	H2BC8	5.91499298336276e-06	2.05416665014803
ENSG00000275216.2	NA	1.92886306587266e-23	2.84700756655128
ENSG00000279641.1	NA	3.03150004367943e-08	3.24490555591202
ENSG00000280351.2	NA	4.12783506406668e-07	2.14366346372798
ENSG00000286034.1	NA	4.23588565247521e-11	-2.37548368653757
ENSG00000288559.1	NA	8.51035943311251e-09	2.17520251250229
ENSG00000289117.2	NA	8.65076685180368e-09	2.9449682693695
ENSG00000290994.1	FAM86C2P	1.81971549044302e-10	-2.17864831906683
ENSG00000291049.1	FAM86B3P	5.01814918958891e-08	-2.37752295744601
