	symbol	padj	log2FoldChange
ENSG00000143476.18	DTL	2.05083133483716e-32	-2.70394472640034
ENSG00000143847.16	PPFIA4	2.5963704035581e-12	-2.43212044694096
ENSG00000144354.15	CDCA7	1.42106129149706e-21	-2.78288908187611
ENSG00000144554.13	FANCD2	7.98431263464785e-14	-2.29013761826431
ENSG00000145362.21	ANK2	4.64246233731377e-31	-3.11011085048627
ENSG00000145882.11	PCYOX1L	7.94229020808417e-15	-2.58231454054168
ENSG00000147536.12	GINS4	3.40905881984212e-14	-2.25773763355377
ENSG00000148219.18	ASTN2	1.28799884304021e-14	-2.61902782444866
ENSG00000148225.16	WDR31	6.67636168899987e-08	-2.02956111024556
ENSG00000149256.16	TENM4	1.15353965134025e-29	-2.08097266641166
ENSG00000150756.14	ATPSCKMT	2.39622114219469e-17	-2.15476751999827
ENSG00000151725.12	CENPU	4.67750173853601e-17	-2.87637609298227
ENSG00000152253.9	SPC25	1.32549376753066e-06	-2.30287188233313
ENSG00000152256.14	PDK1	8.24970633599611e-35	-2.88422739530435
ENSG00000153363.15	LINC00467	1.80578319545032e-11	-2.70545434567413
ENSG00000154920.15	EME1	8.52560510399379e-10	-2.12421617631883
ENSG00000156253.7	RWDD2B	1.99774927567508e-31	-2.63382158846762
ENSG00000156802.13	ATAD2	3.0722592975999e-19	-2.09664983960114
ENSG00000165029.17	ABCA1	3.46437138526854e-46	-2.23727483753881
ENSG00000165490.13	DDIAS	4.33012565865434e-12	-2.21051428932903
ENSG00000166250.12	CLMP	5.79129089016909e-34	-2.10957028561362
ENSG00000166432.16	ZMAT1	4.12022717622545e-11	-2.66010125837278
ENSG00000166803.14	PCLAF	2.30323525432899e-08	-2.33853403697454
ENSG00000167900.12	TK1	4.75801841889341e-31	-2.83673078116781
ENSG00000168078.10	PBK	1.08631735446629e-11	-2.07783825604435
ENSG00000171174.15	RBKS	2.66661222657968e-07	-2.22602266049149
ENSG00000171241.9	SHCBP1	3.50613231658405e-13	-2.07798911405581
ENSG00000171320.15	ESCO2	1.34555287783083e-13	-3.01250718191461
ENSG00000171848.16	RRM2	1.64003592518265e-30	-3.8444863890837
ENSG00000172201.12	ID4	3.59252589955839e-24	-2.23252614341611
ENSG00000172260.15	NEGR1	1.01491901215925e-26	-2.0632322885655
ENSG00000172508.11	CARNS1	4.19700040379014e-14	-2.2595683572847
ENSG00000173705.9	SUSD5	6.30654975718779e-29	-2.22468937178392
ENSG00000174371.17	EXO1	3.11692547995957e-17	-2.80704919037774
ENSG00000175305.18	CCNE2	4.78063476182867e-09	-2.24431497716167
ENSG00000175395.16	ZNF25	7.05905643312943e-09	-2.24272638877047
ENSG00000175567.11	UCP2	1.11061063923692e-46	-2.31345962757333
ENSG00000176623.12	RMDN1	6.2569295930381e-27	-2.2068125965443
ENSG00000176890.16	TYMS	3.7098057928575e-28	-2.33450230571726
ENSG00000182054.10	IDH2	1.28432663626404e-24	-2.28175682572909
ENSG00000184164.15	CRELD2	1.62133083210029e-35	-2.37207242268057
ENSG00000184445.12	KNTC1	5.90029138972797e-17	-2.40116383259655
ENSG00000185875.13	THNSL1	5.05638557123795e-09	-2.04488162484012
ENSG00000186088.16	GSAP	3.87990214901458e-17	-2.0341272322714
ENSG00000186472.20	PCLO	1.07227698691144e-17	-2.06133684970914
ENSG00000186687.16	LYRM7	2.19393052538557e-19	-2.32619431803834
ENSG00000189057.11	FAM111B	1.6648671793704e-10	-2.42169827678116
ENSG00000196584.4	XRCC2	4.49894407541811e-16	-2.18943569082729
ENSG00000197299.13	BLM	1.00248441112874e-09	-2.3043404961015
ENSG00000197565.17	COL4A6	4.9889133991023e-09	-2.1356987158023
ENSG00000198056.16	PRIM1	1.0979674871602e-09	-2.15587724718702
ENSG00000198919.13	DZIP3	1.05562991362652e-21	-2.93035361261906
ENSG00000213963.7	LOC100130691	1.49611869577209e-08	-2.16613960384117
ENSG00000214050.8	FBXO16	1.97020355868594e-06	-2.24537307449171
ENSG00000228716.7	DHFR	2.56156420142917e-15	-2.49532850314883
ENSG00000229953.1	NA	6.95707321857877e-11	-2.24037662603543
ENSG00000233452.9	STXBP5-AS1	9.69160803270611e-19	-2.79149404494213
ENSG00000234494.8	SP2-AS1	1.60494419634568e-10	-2.5476823811699
ENSG00000240875.6	LINC00886	7.68762533049474e-05	-2.20978606620125
ENSG00000247095.5	MIR210HG	2.25763914907023e-17	-2.4356600560769
ENSG00000248587.8	NA	6.26620952540031e-05	-2.16003863262637
ENSG00000250903.11	GMDS-DT	1.07064560839003e-09	-2.09429049092938
ENSG00000254300.1	LINC01111	2.27364117884947e-07	-2.23633296309819
ENSG00000256043.5	CTSO	4.95752548834453e-17	-2.31870797329853
ENSG00000265972.6	TXNIP	6.77894230749255e-14	-2.56792568402101
ENSG00000280128.1	NA	3.96853488239944e-24	-2.27102137947167
ENSG00000286034.1	NA	8.20441128010285e-14	-2.778897543866
ENSG00000290994.1	FAM86C2P	9.65521101040392e-10	-2.15532425069908
ENSG00000291049.1	FAM86B3P	2.2865247982649e-07	-2.26052464455194
